producto,marca,descripcion,url_producto,imagen,mpn,sku,precio_bajo,precio_alto
Vino tinto cabernet sauvignon Callia 750 cc.,Callia,"Color rojo profundo intenso, con excelente matiz. En nariz presenta aromas frutales, que se complementan con aromas especiados aportando una complejidad típica del varietal. En boca es redondo con taninos bien presentes pero suaves, con una marcada sensación dulce que lo hace muy interesante y fácil de beber.",https://www.carrefour.com.ar/vino-tinto-cabernet-sauvignon-callia-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/227488/7798108833127_01.jpg?v=1771434679,640988,7163,952.0,952.0
Licor de cafe al chocolate Tres Plumas 750 cc.,Tres Plumas,,https://www.carrefour.com.ar/licor-de-cafe-al-chocolate-tres-plumas-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/271866/7790260002236_01.jpg?v=1771416737,305782,54984,1200.0,1200.0
Vino blanco Galan clásico botella 1.125 l.,Galan,,https://www.carrefour.com.ar/vino-blanco-galan-clasico-botella-1125-l-697347/p,https://carrefourar.vtexassets.com/arquivos/ids/272433/7794400000939_01.jpg?v=1771425742,697347,91111,675.0,675.0
Vino rosado Zumuva tetra 1 lt.,Zumuva,,https://www.carrefour.com.ar/vino-rosado-zumuva-tetra-1-lt-703544/p,https://carrefourar.vtexassets.com/arquivos/ids/299824/7790314004360_01.jpg?v=1771452213,703544,98851,421.0,421.0
Vino tinto pinot noit Finca Los Primos 750 cc.,Finca Los Primos,,https://www.carrefour.com.ar/vino-tinto-pinot-noit-finca-los-primos-750-cc-44437/p,https://carrefourar.vtexassets.com/arquivos/ids/184413/7790703200854_01.jpg?v=1771454507,666370,19508,1045.0,1045.0
Vino blanco Santa Julia chardonnay 750 cc.,Santa Julia,,https://www.carrefour.com.ar/vino-blanco-santa-julia-chardonnay-750-cc-695133/p,https://carrefourar.vtexassets.com/arquivos/ids/236988/7791728244038_02.jpg?v=1771416306,695133,88550,1205.0,1205.0
Whisky importado Grants ale cask edition 750 cc.,Grants,,https://www.carrefour.com.ar/whisky-importado-grants-ale-cask-edition-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/299759/5010327205182_01.jpg?v=1771438843,603269,70984,6770.0,6770.0
Vino tinto malbec Colon Selecto 750 cc.,Colon Selecto,,https://www.carrefour.com.ar/vino-tinto-malbec-colon-selecto-750-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/260167/7790168903925_01.jpg?v=1771438067,681436,56240,812.0,812.0
Agua saborizada Villa del Sur Levité manzana 500 cc.,Levité,,https://www.carrefour.com.ar/agua-saborizada-villa-del-sur-levite-manzana-500-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/171634/7798062548716_01.jpg?v=1771426474,408100,13143,213.5,213.5
Jugo de limón Favinco pet 1 l.,Favinco,,https://www.carrefour.com.ar/jugo-de-limon-favinco-pet-1-l-691845/p,https://carrefourar.vtexassets.com/arquivos/ids/231781/7790139100919_01.jpg?v=1771435095,691845,84883,444.0,444.0
