producto|marca|descripcion|rubro|url_producto|mpn|sku|precio_bajo|precio_alto
Garbanzos Inalpa secos remojados lata 300 g.|Inalpa||Almacen|https://www.carrefour.com.ar/garbanzos-inalpa-secos-remojados-lata-300-g-695920/p|695920|88653|184.8|184.8
Gelatina cereza light Exquisita 25 g.|Exquisita||Almacen|https://www.carrefour.com.ar/gelatina-cereza-light-exquisita-25-g/p|673424|37533|149.5|149.5
Fideos ave maría Terrabusi 500 g.|Terrabusi||Almacen|https://www.carrefour.com.ar/fideos-ave-maria-terrabusi-500-g/p|532122|20002|170.32|170.32
Vinagre de alcohol  Dos Anclas pet 1 l.|Dos Anclas||Almacen|https://www.carrefour.com.ar/vinagre-de-alcohol--dos-anclas-pet-1-l/p|370413|85820|226.0|226.0
Picadillo de carne Swift 90 g.|Swift||Almacen|https://www.carrefour.com.ar/picadillo-de-carne-swift-90-g-36054/p|8130|1027|157.5|157.5
Fideos mostachol Marolio 500 g.|Marolio||Almacen|https://www.carrefour.com.ar/fideos-mostachol-marolio-500-g/p|645714|15230|132.99|132.99
Papas fritas acanaladas Pehuamar bolsa 245 g.|Pehuamar||Almacen|https://www.carrefour.com.ar/papas-fritas-acanaladas-pehuamar-bolsa-245-g/p|676514|44015|588.34|588.34
Mostaza Dánica doy pack 220 g.|Dánica||Almacen|https://www.carrefour.com.ar/mostaza-danica-doy-pack-220-g/p|679231|49640|138.0|138.0
Mayonesa Dánica doy pack 500 g.|Dánica||Almacen|https://www.carrefour.com.ar/mayonesa-danica-doy-pack-500-g/p|679235|49645|292.0|292.0
Orégano Alicante sobre 50 g.|Alicante||Almacen|https://www.carrefour.com.ar/oregano-alicante-sobre-50-g/p|685103|73320|356.0|356.0
Aceite de girasol Lira 1.5 l.|Lira||Almacen|https://www.carrefour.com.ar/aceite-de-girasol-lira-15-l/p|663713|22940|960.0|960.0
Aceite de girasol Cañuelas 1.5 l.|Cañuelas||Almacen|https://www.carrefour.com.ar/aceite-de-girasol-canuelas-15-l/p|244757|41392|484.04|484.04
Premezcla para pizza Pureza gourmet 550 g.|Pureza||Almacen|https://www.carrefour.com.ar/premezcla-para-pizza-pureza-gourmet-550-g/p|575280|5254|340.8|340.8
Provenzal La Parmesana 25 g.|La Parmesana||Almacen|https://www.carrefour.com.ar/provenzal-la-parmesana-25-g/p|262583|4527|116.49|116.49
Fideos forattini Matarazzo bolsa 500 g.|Matarazzo||Almacen|https://www.carrefour.com.ar/fideos-forattini-matarazzo-bolsa-500-g-568967/p|568967|92151|246.5|246.5
Atún Bulnez en aceite desmenuzado 170 g.|Bulnez||Almacen|https://www.carrefour.com.ar/atun-bulnez-en-aceite-desmenuzado-170-g/p|623430|6796|179.9|179.9
