fecha_relevamiento|producto|marca|rubro|url_producto|mpn|sku|precio_bajo|precio_alto
20230527-190544|Protectores diarios Always diarios plus respirable sin perfume 40 uni|Always|Perfumeria|https://www.carrefour.com.ar/protectores-diarios-always-diarios-plus-respirable-sin-perfume-40-uni-704356/p|704356|100543|992.0|992.0
20230527-190544|Acondicionador Fructis recarga nutritiva 200 cc.|Fructis|Perfumeria|https://www.carrefour.com.ar/acondicionador-fructis-recarga-nutritiva-200-cc-706110/p|706110|105126|588.0|588.0
20230527-190544|Apósitos adhesivos Curitas tela elástica para todo tipo de piel x 10 uni|Curitas|Perfumeria|https://www.carrefour.com.ar/apositos-adhesivos-curitas-tela-elastica-para-todo-tipo-de-piel-x-10-uni-689911/p|689911|83409|150.5|150.5
20230527-190544|Shampoo Head &amp; Shoulders fuerza de raíz 375 cc.|Head &amp; Shoulders|Perfumeria|https://www.carrefour.com.ar/shampoo-head-y-shoulders-fuerza-de-raiz-375-cc-712791/p|712791|118433|969.52|969.52
20230527-190544|Pasta dental Sensodyne Kids pro esmalte 100 cc.|Sensodyne|Perfumeria|https://www.carrefour.com.ar/pasta-dental-sensodyne-kids-pro-esmalte-100-cc/p|633618|8196|767.0|767.0
20230527-190544|Acondicionador Head &amp; Shoulders dermo suave y manejable 300 cc.|Head &amp; Shoulders|Perfumeria|https://www.carrefour.com.ar/acondicionador-head-y-shoulders-dermo-suave-y-manejable-300-cc-42016/p|657838|12275|888.3|888.3
20230527-190544|Mascarilla Garnier Fructis coco reparación 350 cc.|Garnier|Perfumeria|https://www.carrefour.com.ar/mascarilla-garnier-fructis-coco-reparacion-350-cc-40108/p|638133|8931|967.0|967.0
20230527-190544|Desodorante Impulse True Love en aerosol 150 ml|Impulse|Perfumeria|https://www.carrefour.com.ar/desodorante-impulse-true-love-en-aerosol-150-ml/p|650259|24001|422.0|422.0
20230527-190544|Crema corporal bajo la ducha Nivea milk nutritiva para piel seca 250 ml.|Nivea|Perfumeria|https://www.carrefour.com.ar/crema-corporal-bajo-la-ducha-nivea-milk-nutritiva-para-piel-seca-250-ml/p|550769|4456|845.0|845.0
20230527-190544|Gel de afeitar Nivea men sensitive para piel sensible 200 ml.|Nivea|Perfumeria|https://www.carrefour.com.ar/gel-de-afeitar-nivea-men-sensitive-para-piel-sensible-200-ml/p|453269|3704|801.0|801.0
